	LacZ_enriched_722	LacZ_723	lacZ_enriched_815	AC2_enriched_722	AC2_723	AC2_enriched_815	AC6_enriched_722	AC6_723	AC6_enriched_815
MCMBP	1.236	NA	NA	0.955	NA	NA	0.787	0.871	NA
AASD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
DCNL5	1.065	0.905	NA	0.912	1.003	NA	0.588	0.822	NA
PAGR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
URM1	NA	NA	NA	NA	NA	NA	NA	NA	NA
AN32E	1.024	0.954	NA	NA	1.175	NA	0.891	0.865	NA
MED10	0.936	NA	NA	0.845	NA	NA	0.787	NA	1.439
P4K2A	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMM43	1.207	1.035	1.236	NA	1.338	1.206	0.841	1.118	0.979
TBCD	NA	NA	NA	NA	NA	1.699	NA	NA	2.139
DHRS4	NA	NA	NA	NA	1.352	NA	0.727	0.875	NA
LMF2	NA	0.927	NA	NA	0.983	NA	0.853	0.807	NA
MMTA2	NA	NA	NA	NA	NA	NA	NA	NA	NA
DOHH	NA	NA	NA	0.947	NA	NA	NA	NA	NA
SPNDC	NA	0.926	1.062	0.884	NA	1.173	0.85	NA	1.244
TMM70	NA	0.887	NA	NA	1.116	NA	NA	NA	NA
SPON2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TBB6	NA	NA	1.037	NA	NA	NA	NA	NA	NA
PAXX	NA	0.762	5.739	NA	NA	1.731	NA	NA	9.983
HNRL1	1.123	NA	NA	0.943	NA	NA	NA	NA	NA
PHF23	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDC10	NA	NA	NA	NA	NA	NA	NA	NA	12.79
DERL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTAI2	NA	NA	1.178	NA	NA	NA	NA	NA	1.217
DDX23	NA	NA	NA	NA	NA	NA	NA	NA	NA
TCAB1	1.039	0.789	0.943	0.955	1.125	1.14	0.885	0.836	1.065
MIC26	NA	NA	NA	NA	NA	NA	NA	NA	NA
BDH2	1.199	1.009	1.009	0.986	1.206	1.215	NA	0.905	1.124
SCMC3	NA	NA	NA	NA	NA	9.376	NA	NA	NA
MELPH	NA	NA	NA	NA	NA	NA	NA	NA	NA
WDR18	1.451	0.917	0.809	1.001	1.259	1.051	0.892	NA	0.938
THUM3	NA	NA	NA	NA	NA	1.009	NA	NA	NA
MTND	1.109	NA	0.873	NA	NA	0.934	0.742	NA	0.806
RN126	NA	0.958	NA	NA	NA	NA	0.913	0.833	NA
CP250	NA	NA	NA	0.913	1.137	1.201	0.736	0.788	NA
EMC6	NA	NA	NA	NA	NA	1.133	NA	NA	1.106
NTM1A	1.244	NA	1.201	NA	NA	1.258	0.948	NA	1.297
ASHWN	NA	NA	NA	NA	NA	NA	0.925	NA	NA
TM109	NA	NA	NA	NA	NA	NA	NA	NA	NA
PBDC1	NA	0.966	NA	0.834	1.362	NA	NA	NA	NA
PTSS2	NA	NA	NA	NA	NA	1.184	NA	NA	0.91
NOC4L	1.045	0.93	0.984	0.937	1.129	1.127	0.848	0.858	1.101
UT14A	NA	NA	NA	NA	NA	NA	NA	NA	NA
DUS23	NA	0.992	NA	NA	NA	NA	NA	1.026	NA
TMED9	NA	0.955	NA	NA	1.129	1.347	NA	0.918	NA
NUP58	2.298	NA	NA	1.954	NA	NA	NA	NA	NA
GNL3	1.051	0.896	1.005	0.937	1.058	3.166	0.852	0.822	1.21
SPA5L	NA	NA	NA	NA	NA	NA	NA	0.697	NA
RIOK2	NA	0.94	1.419	0.893	1.116	1.225	0.805	0.858	1.097
TMUB1	NA	0.651	NA	NA	1.01	NA	NA	0.893	NA
F174C	NA	NA	NA	NA	NA	NA	NA	NA	NA
KIFC1	1.25	0.952	0.798	NA	NA	1.101	4.921	NA	1.166
ELOV1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CINP	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIRP3	NA	1.012	NA	NA	0.965	NA	NA	NA	NA
IFT27	NA	0.957	NA	NA	1.106	NA	NA	0.866	NA
YJU2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUDT9	1.114	NA	1.03	0.851	NA	1.1	0.838	NA	0.617
SYTM	NA	0.937	NA	NA	1.174	NA	NA	0.811	NA
THIC	1.059	0.919	NA	0.961	NA	1.209	0.843	NA	0.89
RTL8A	NA	1.017	NA	NA	1.023	NA	NA	0.832	NA
REPI1	NA	NA	NA	NA	NA	1.066	NA	NA	1.073
RBM4	NA	NA	1.107	NA	NA	1.147	NA	NA	1.366
SSBP4	NA	NA	NA	NA	NA	NA	NA	NA	NA
FUND2	NA	NA	0.787	NA	NA	NA	NA	NA	NA
SF3B5	1.425	NA	NA	1.029	1.326	NA	0.972	0.96	NA
SFXN3	NA	NA	NA	NA	NA	1.151	NA	NA	NA
CHID1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NADAP	NA	NA	1.213	0.968	NA	NA	NA	0.906	NA
LS14B	NA	1.284	NA	NA	NA	NA	NA	0.841	NA
FANCJ	1.196	NA	NA	NA	NA	NA	1.098	NA	NA
SGPP1	0.919	NA	0.929	NA	NA	0.833	NA	NA	NA
OSB11	NA	0.912	NA	NA	NA	NA	NA	NA	NA
OSB10	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFIP5	NA	NA	NA	0.872	NA	NA	0.788	NA	NA
TB10A	1.17	0.921	0.846	NA	0.993	1.083	NA	0.84	1.102
C1QT3	NA	NA	NA	NA	NA	NA	NA	NA	NA
TACAN	NA	NA	NA	NA	NA	1.299	NA	NA	NA
NAA15	NA	NA	NA	NA	NA	NA	NA	NA	NA
B2L13	NA	NA	1.142	1.072	NA	1.07	NA	NA	0.987
HEMGN	NA	0.79	NA	NA	NA	NA	NA	NA	NA
S12A9	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRRT	NA	NA	NA	1.057	NA	NA	NA	NA	NA
FHR5	NA	0.992	NA	NA	1.056	NA	NA	0.858	NA
TMM59	NA	NA	NA	NA	NA	1.325	NA	NA	NA
AP1M1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUSAP	1.051	NA	0.955	1.034	NA	1.192	0.935	NA	NA
GON7	NA	1.187	1.07	NA	1.016	NA	NA	0.877	NA
OSBL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
HDHD5	NA	NA	NA	NA	NA	1.248	NA	NA	NA
MAK16	NA	NA	NA	0.94	NA	1.078	0.879	NA	NA
SCAPE	NA	NA	NA	NA	NA	1.17	NA	NA	1.334
ITPA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHM4A	NA	NA	NA	NA	NA	NA	NA	NA	NA
EIF2A	0.997	NA	0.978	1.158	NA	1.088	0.906	NA	1.092
CADM1	NA	NA	1.207	NA	NA	1.16	0.941	NA	1.34
PDIP3	NA	NA	NA	NA	NA	NA	NA	NA	NA
K1671	NA	NA	1.071	NA	1.22	NA	NA	1.03	NA
FUT8	NA	NA	NA	NA	NA	NA	NA	NA	NA
RM20	NA	NA	NA	NA	NA	NA	NA	NA	NA
RM13	NA	NA	NA	NA	NA	NA	2.869	NA	NA
RM09	NA	1.025	NA	NA	NA	1.058	NA	NA	NA
RM04	NA	NA	NA	NA	NA	NA	NA	NA	NA
RM01	NA	NA	NA	NA	NA	1.163	NA	NA	NA
MK67I	1.375	NA	NA	1.149	1.197	NA	0.996	0.815	NA
HYCCI	NA	0.94	0.814	0.941	1.006	1.163	0.846	0.822	1.046
YTHD1	NA	1.053	NA	NA	NA	NA	NA	NA	NA
HELZ2	NA	0.833	NA	NA	1.023	NA	NA	NA	NA
SRXN1	1.421	NA	1.293	1.125	NA	1.625	1.039	NA	1.548
RT26	NA	NA	NA	NA	NA	1.31	NA	NA	NA
LRRC2	NA	NA	NA	NA	NA	1.226	NA	NA	NA
NEUL	1.131	0.921	NA	0.917	1.127	1.473	0.822	0.837	0.947
CEP41	1.165	1.173	NA	1.165	NA	1.13	1.071	NA	NA
SETD2	0.852	0.893	NA	0.942	1.028	1.163	0.789	0.785	NA
TBD2A	NA	NA	NA	NA	NA	NA	NA	NA	2.441
PANK2	NA	0.926	NA	0.922	NA	NA	NA	NA	NA
FRMD8	1.41	0.851	NA	NA	NA	NA	NA	1.069	1.042
NUF2	NA	0.962	NA	0.995	0.949	NA	0.856	NA	NA
RM37	NA	NA	NA	NA	NA	NA	NA	NA	NA
NOG1	NA	NA	NA	NA	NA	1.488	NA	NA	1.05
ASPC1	NA	NA	NA	NA	NA	1.138	NA	NA	NA
OSBL8	1.071	0.896	0.893	0.834	NA	1.171	0.794	NA	1.025
UACA	NA	NA	NA	NA	NA	0.997	NA	NA	NA
RAB34	NA	NA	1.053	NA	NA	1.298	NA	NA	0.967
WDR11	NA	NA	NA	NA	NA	NA	NA	NA	NA
REN3B	NA	0.973	NA	0.935	1.138	1.382	0.888	0.882	NA
CRNL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TBL1R	1.108	NA	0.995	1.045	NA	0.891	NA	NA	0.86
UBL5	NA	NA	1.068	NA	1.145	1.157	1.515	0.926	1.095
PP12C	NA	NA	1.157	NA	NA	NA	NA	NA	NA
KPCD2	NA	NA	NA	NA	NA	NA	0.174	NA	NA
EDEM3	NA	0.959	NA	NA	1.077	NA	NA	0.875	NA
NIBA1	1.179	1.032	1.458	0.958	1.197	1.968	0.789	NA	1.441
UBXN6	1.347	NA	1.408	0.954	NA	1.178	0.868	NA	NA
UCK2	NA	NA	NA	0.89	NA	NA	NA	NA	NA
API5	NA	0.913	NA	NA	1.066	1.111	0.836	0.803	1.112
SPY4	NA	NA	NA	NA	NA	NA	NA	NA	NA
DPY30	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIM5	NA	NA	0.86	0.947	1.244	0.894	NA	NA	NA
TRIM2	1.12	NA	NA	0.951	1.078	NA	0.877	0.903	NA
IN80B	NA	0.875	1.148	NA	NA	NA	NA	NA	NA
UNK	1.194	0.998	NA	1.087	1.077	1.06	0.892	0.892	1.069
FTO	1.179	0.998	NA	1.032	1.246	NA	0.934	0.916	NA
ZDHC5	NA	NA	NA	NA	NA	NA	15.788	NA	NA
TNG6	NA	NA	NA	NA	NA	NA	NA	NA	NA
TB182	NA	NA	0.949	NA	NA	1.171	NA	NA	1.194
AMRA1	1.29	1.01	1.023	1.029	1.194	1.063	0.969	0.935	0.979
UBE2O	NA	NA	NA	NA	1.079	NA	0.801	NA	NA
ZY11B	NA	NA	NA	0.868	NA	NA	0.887	NA	NA
TANC1	NA	0.973	NA	NA	1.112	NA	NA	0.889	NA
FHDC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
XPO4	1.28	NA	0.701	1.081	NA	0.781	NA	NA	1.525
LNP	1.087	NA	1.036	NA	NA	1.142	NA	NA	0.924
ZN436	NA	1.089	0.974	NA	1.067	NA	0.872	0.858	NA
TTYH3	1.096	0.94	0.984	0.817	1.087	1.126	0.881	0.849	1.082
RHG39	NA	NA	NA	NA	NA	NA	NA	NA	NA
WDR33	NA	NA	NA	1.077	NA	NA	NA	NA	NA
O11A1	0.941	NA	NA	NA	NA	NA	NA	NA	NA
WDR12	NA	NA	NA	NA	NA	NA	NA	NA	NA
YIPF3	NA	NA	NA	NA	NA	NA	NA	NA	NA
NRSN2	1.098	0.922	NA	0.853	1.062	NA	0.848	0.81	NA
PITH1	1.12	NA	0.978	0.944	1.046	1.167	0.955	0.889	1.143
DERL2	NA	NA	1.133	NA	NA	NA	NA	NA	NA
COMD5	1.136	0.934	1.003	0.958	1.095	1.234	0.92	0.932	1.151
MLP3B	NA	0.942	0.982	NA	1.082	NA	NA	0.804	NA
DDX24	1.115	0.922	1.168	0.948	1.148	1.568	0.898	0.862	NA
RPA49	NA	NA	NA	NA	NA	NA	NA	NA	NA
WDR61	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLIRP	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR	NA	0.994	NA	NA	NA	NA	NA	0.907	NA
NIF3L	0.975	NA	0.681	0.997	1.775	0.758	0.654	1.036	1.025
EGLN1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CTDS1	NA	1.217	1.178	1.124	1.413	NA	1.256	1.054	NA
PIP30	NA	NA	NA	NA	0.951	NA	NA	0.846	0.791
IF5A2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TWSG1	NA	NA	0.904	NA	NA	NA	NA	NA	NA
MFF	NA	0.941	NA	1.07	1.11	NA	NA	0.821	NA
NAA50	NA	NA	NA	NA	NA	NA	NA	NA	0.747
UBA5	1.485	NA	NA	NA	NA	NA	NA	NA	NA
LHPP	NA	NA	NA	NA	NA	NA	NA	NA	NA
NACA2	NA	1.046	0.772	NA	NA	NA	NA	NA	NA
ADA19	NA	0.97	NA	1.008	1.095	1.11	0.921	0.88	1.105
S22A4	1.289	NA	1.1	0.912	1.107	1.221	1.167	0.852	1.327
MFR1L	1.156	1.004	0.869	0.968	1.13	1.068	0.913	0.867	NA
T126A	NA	NA	0.918	NA	NA	1.124	NA	NA	1.412
MAF1	NA	NA	NA	NA	NA	NA	NA	NA	5.07
PAIP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLPB	NA	NA	1.547	NA	NA	1.412	NA	NA	1.692
F107B	NA	NA	1.171	NA	NA	NA	0.875	NA	NA
NAT10	NA	NA	0.964	NA	NA	0.795	NA	NA	0.587
COMD4	NA	0.959	NA	NA	1.14	0.998	1.038	0.577	1.106
KLC2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ILKAP	NA	NA	NA	NA	NA	NA	NA	NA	NA
XRN2	NA	NA	0.67	1.061	NA	1.384	1.074	NA	1.416
TOLIP	NA	NA	NA	0.934	1.124	NA	0.83	0.883	NA
SP130	0.942	0.927	0.953	0.925	1.107	1.114	0.827	0.844	1.099
BRD8	NA	NA	1	NA	NA	1.196	NA	0.771	NA
SHRPN	NA	NA	NA	NA	NA	NA	NA	NA	NA
NSRP1	NA	0.937	NA	NA	1.068	1.102	NA	0.831	NA
INT2	1.308	NA	0.761	1.016	0.721	NA	0.89	NA	NA
RGAP1	1.117	0.971	1.058	1.003	1.114	1.174	0.894	0.932	1.277
PAR12	NA	NA	NA	NA	NA	NA	NA	NA	NA
SIK2	NA	NA	NA	NA	NA	NA	NA	0.892	NA
RAB6C	NA	NA	NA	NA	NA	NA	NA	NA	NA
HDHD2	1.416	1.032	0.47	1.181	1.392	0.531	0.698	1.247	0.401
DDX47	NA	0.928	0.972	NA	1.083	NA	NA	0.854	NA
MAGT1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAB1B	2.094	0.692	1.115	1.863	0.493	1.489	1.209	0.589	1.617
RM18	NA	NA	NA	NA	NA	NA	NA	NA	NA
TSYL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
LMA2L	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCDC8	NA	0.981	0.973	0.886	1.291	1.129	0.814	NA	1.192
SMG9	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK054	NA	0.877	NA	NA	0.993	NA	NA	0.665	NA
F234A	1.082	1.541	0.763	0.792	1.471	0.71	0.547	1.146	0.988
OSBL5	NA	NA	NA	NA	NA	NA	NA	NA	NA
GZF1	NA	NA	NA	NA	NA	NA	NA	0.942	NA
SIL1	NA	NA	NA	0.96	NA	NA	0.828	NA	NA
METL9	NA	0.908	NA	1.07	1.177	1.797	NA	0.787	NA
APC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
I2BPL	NA	NA	NA	NA	NA	NA	NA	NA	NA
GL8D2	NA	NA	NA	NA	NA	NA	NA	NA	NA
UN93B	NA	1.091	0.939	0.788	NA	NA	0.813	NA	1.101
CYTM1	NA	NA	NA	0.999	1.192	NA	NA	NA	NA
NUCKS	1.354	1.152	1.272	1.144	1.279	1.472	0.981	1.007	NA
TMX4	0.834	0.86	1.056	0.787	NA	1.265	NA	NA	1.146
KI13A	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASCC2	NA	NA	NA	0.825	NA	1.172	1.181	NA	0.924
WNT5B	NA	NA	NA	NA	NA	NA	NA	NA	NA
ISCU	NA	NA	1.918	NA	NA	2.173	NA	NA	2.07
ATG5	NA	NA	1.013	1.517	NA	1.129	0.731	NA	NA
WDR13	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDT1	1.224	NA	0.757	1.142	NA	0.915	NA	NA	0.839
EHD4	1.201	NA	NA	1.019	NA	1.169	0.951	NA	1.104
CA021	0.91	1.067	NA	0.93	1.253	1.162	0.847	0.857	1.113
VP33B	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPS16	NA	NA	0.829	NA	NA	NA	NA	NA	NA
VPS11	NA	0.934	NA	NA	1.06	NA	NA	0.781	NA
SH3L3	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLK	1.503	NA	1.35	0.846	NA	1.374	0.716	NA	1.2
GO45	NA	0.954	NA	NA	1.056	NA	NA	0.848	NA
PPIL3	NA	NA	NA	NA	NA	NA	NA	NA	NA
S38A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
LRMDA	NA	NA	0.956	NA	NA	NA	0.855	NA	NA
PDCL3	NA	NA	NA	NA	NA	NA	NA	NA	NA
S6A15	1.097	1.103	1.035	0.909	1.241	1.19	0.85	0.929	1.185
TAOK3	1.174	NA	1.001	0.755	NA	1.21	0.808	NA	1.151
RBGPR	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADNP	NA	NA	NA	NA	NA	NA	NA	NA	NA
DPH5	NA	NA	NA	0.991	NA	1.619	0.928	NA	NA
RBP17	1.054	0.913	0.911	0.91	1.453	1.169	0.8	0.501	1.197
DHX36	NA	NA	1.143	0.877	NA	NA	0.779	NA	1.232
IPYR2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPNS1	1.06	0.483	1.288	0.83	NA	1.33	0.749	NA	1.097
RM46	NA	0.828	NA	NA	NA	NA	NA	NA	NA
S12A5	NA	0.902	NA	NA	NA	NA	NA	1.222	NA
ZN106	NA	NA	NA	0.987	NA	1.141	NA	NA	NA
PININ	NA	1.037	NA	1.091	1.223	NA	NA	0.895	NA
TM245	NA	NA	NA	NA	NA	1.254	NA	NA	1.16
GGNB2	NA	NA	NA	1.08	NA	NA	0.899	NA	NA
BACD3	NA	NA	NA	NA	1.01	NA	NA	NA	NA
MOD5	1.134	NA	0.822	NA	NA	1.045	NA	NA	1.133
CK068	1.281	NA	NA	1.087	NA	NA	1.032	NA	NA
GPT	NA	NA	NA	NA	NA	NA	NA	NA	NA
GHITM	NA	0.965	NA	NA	3.691	NA	NA	0.867	NA
BOLA2	1.114	0.905	0.901	0.939	1.037	0.827	0.807	0.848	0.884
TMX1	NA	NA	1.306	0.921	NA	1.354	0.903	NA	1.274
NELFA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCP60	NA	NA	NA	NA	NA	NA	NA	NA	NA
BORG4	NA	NA	1.237	1.005	NA	NA	0.796	NA	NA
PTN23	NA	NA	NA	NA	NA	NA	NA	NA	0.583
UN45A	0.921	0.93	0.795	0.795	1.139	1.18	0.931	NA	0.98
MFSD1	NA	NA	NA	NA	NA	1.009	NA	NA	1.23
DNJC5	NA	NA	NA	NA	NA	NA	NA	NA	0.651
DSN1	NA	0.946	NA	1.025	1.123	NA	0.895	0.854	NA
CA198	NA	NA	NA	NA	NA	NA	NA	NA	6.291
CHM4B	NA	0.967	NA	NA	NA	NA	NA	NA	NA
RWDD1	1.033	0.952	NA	0.94	1.148	1.219	0.864	0.849	NA
FN3K	NA	NA	0.915	NA	NA	1.212	NA	NA	NA
OFUT1	1.119	0.963	0.949	0.937	1.042	0.822	0.865	0.868	1.069
PIGU	NA	0.971	0.919	0.986	1.178	0.918	0.838	0.859	NA
MLP3A	1.213	NA	0.973	0.982	NA	1.07	0.888	NA	1.008
WNK1	1.276	NA	1.273	1.103	1.14	2.138	0.898	NA	1.799
AMPB	NA	0.896	NA	0.99	0.954	1.057	1.064	0.853	NA
GLP3L	NA	NA	NA	NA	NA	NA	NA	0.89	NA
GOLP3	NA	NA	1.091	NA	NA	0.992	NA	NA	1.152
E41L1	NA	NA	NA	NA	NA	NA	NA	0.826	NA
GAPR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZHX3	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRABD	NA	0.91	1.023	NA	1.047	1.026	0.928	0.852	1.068
EMRE	NA	0.916	0.948	NA	1.068	1.018	NA	0.863	1.103
SENP3	1.091	NA	0.99	0.923	NA	1.179	0.877	NA	1.174
OSBL3	NA	NA	NA	0.95	NA	NA	NA	NA	NA
SMRCD	1.12	0.904	NA	0.96	1.164	NA	0.895	0.9	NA
PKHA4	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RGCC	NA	0.914	NA	0.896	1.128	1.184	0.812	NA	NA
ESF1	1.12	NA	NA	NA	1.097	NA	0.931	0.89	NA
ALG2	NA	NA	NA	NA	NA	NA	NA	NA	NA
HEAT1	NA	1.074	NA	NA	NA	NA	NA	NA	NA
ZN768	1.183	0.479	0.984	0.965	1.626	1.148	0.9	0.88	1.14
ZBTB3	NA	0.964	NA	NA	NA	NA	NA	0.633	NA
RABE2	0.952	1.282	1.005	0.91	1.247	1.151	0.876	1.291	1.136
TFB2M	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZCHC4	NA	0.868	NA	NA	0.99	1.126	0.629	0.757	NA
CIA2A	NA	NA	1.001	NA	NA	NA	NA	NA	NA
BICC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCX3	NA	NA	NA	NA	NA	1.179	NA	NA	NA
CLMP	NA	NA	NA	0.973	1.163	NA	0.963	NA	NA
CCD86	NA	NA	NA	NA	NA	NA	NA	NA	NA
REEP4	NA	NA	NA	NA	NA	NA	NA	NA	NA
ILRUN	NA	NA	0.978	NA	NA	1.126	NA	NA	1.015
NOL6	NA	NA	NA	NA	NA	NA	NA	NA	NA
WDCP	NA	NA	NA	NA	NA	NA	NA	NA	NA
YTDC2	1.056	1.051	1.129	1.125	1.11	NA	NA	NA	1.18
AZI2	NA	0.969	NA	NA	1.216	NA	NA	0.879	NA
ES8L2	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPAP3	NA	NA	NA	NA	NA	NA	NA	NA	NA
BCAS3	NA	0.99	1.6	27.618	1.156	1.21	0.39	0.843	1.246
ALG9	NA	0.89	NA	NA	NA	NA	NA	0.827	NA
LDAH	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANTR1	NA	NA	NA	NA	1.132	NA	NA	0.852	NA
WDR55	NA	NA	NA	1.12	NA	NA	NA	NA	NA
RN167	1.331	0.891	1.306	0.909	NA	1.096	1.064	NA	1.072
RANB3	NA	NA	NA	1.023	NA	NA	0.999	NA	NA
GREM2	NA	NA	NA	NA	NA	NA	NA	NA	NA
DCTP1	NA	0.985	NA	NA	1.101	NA	NA	0.74	NA
SH24A	NA	NA	NA	NA	NA	NA	NA	NA	1.156
PEAK1	NA	0.958	NA	NA	NA	NA	NA	NA	NA
RPF2	1.152	0.9	NA	0.896	1.064	NA	0.83	0.868	NA
SMYD3	NA	NA	NA	NA	1.671	NA	NA	0.876	NA
SYNCI	NA	NA	NA	NA	1.254	NA	NA	NA	NA
DOCK5	NA	NA	NA	NA	NA	NA	NA	NA	NA
WDR26	1.162	NA	NA	0.919	NA	NA	0.99	NA	1.105
CH033	NA	1.015	NA	0.96	1.058	NA	0.989	0.892	NA
AT133	NA	NA	NA	NA	NA	NA	NA	0.831	NA
SDS3	NA	NA	NA	NA	NA	NA	NA	NA	NA
VISTA	1.248	NA	1.245	0.98	1.189	2.319	0.942	0.957	NA
SFR19	NA	0.954	NA	NA	NA	NA	NA	NA	NA
PKHG2	NA	NA	1.084	NA	NA	1.303	NA	NA	0.79
PGES2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PACC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PHAX	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBE2Z	NA	NA	0.986	0.862	NA	1.093	NA	NA	NA
GEMI7	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACAD9	NA	NA	NA	NA	NA	NA	NA	NA	NA
TTC12	NA	NA	2.464	NA	NA	1.578	NA	NA	0.999
CSR2B	NA	NA	NA	NA	NA	NA	NA	NA	1.069
CAAP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NOL11	NA	0.799	NA	NA	NA	NA	NA	NA	NA
PAAT	1.166	0.995	NA	0.923	1.203	NA	0.919	0.903	NA
BRD9	1.267	NA	NA	NA	NA	1.006	NA	NA	NA
CNNM2	NA	NA	0.935	NA	NA	NA	0.761	NA	NA
EVA1A	3.472	0.181	5.275	3.817	NA	4.776	0.855	NA	6.921
MOB1A	0.983	0.835	4.778	0.802	0.852	2.274	0.872	0.601	4.954
ECT2	NA	0.977	0.966	0.958	1.07	1.104	0.853	0.863	1.07
ANKZ1	1.131	0.997	1.138	0.971	1.062	1.388	NA	NA	1.348
GORS2	NA	NA	0.93	NA	NA	NA	NA	NA	NA
ZWILC	NA	NA	1.045	NA	NA	1.165	NA	NA	1.19
JUPI2	NA	0.962	NA	0.956	NA	1.268	1.019	NA	NA
RN121	NA	0.945	1.398	NA	1.075	1.126	0.904	0.866	1.159
GHC1	1.309	1.141	1.327	0.983	1.337	1.449	0.995	1.012	1.383
MED20	NA	NA	NA	NA	NA	NA	NA	NA	NA
WDR76	1.189	0.941	0.758	NA	NA	1.09	NA	NA	1.294
ARP8	NA	NA	NA	NA	NA	NA	NA	NA	NA
SYP2L	0.993	0.907	1.041	0.871	1.001	1.16	0.889	0.823	1.145
MARH7	NA	NA	0.775	0.81	NA	1.471	NA	NA	1.435
ARMT1	NA	NA	1.788	NA	NA	1.633	NA	NA	1.708
LRC40	1.102	0.753	NA	0.922	1.147	NA	0.881	0.85	NA
SFXN1	1.055	NA	0.922	0.999	NA	NA	0.855	NA	NA
SPE39	NA	NA	NA	NA	NA	NA	NA	NA	NA
COG4	NA	NA	NA	NA	NA	1.098	NA	NA	NA
VP37B	1.27	1.052	1.061	1.07	1.129	1.196	0.976	0.931	1.16
RM44	NA	NA	NA	NA	NA	0.893	NA	NA	NA
UBP42	3.272	NA	4.056	12.454	NA	6.89	4.266	NA	7.523
NHEJ1	NA	NA	NA	NA	NA	NA	NA	NA	NA
S61A2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ELP3	NA	NA	NA	NA	NA	NA	NA	0.979	NA
RPF1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPA2	NA	NA	NA	NA	NA	NA	NA	NA	NA
UCK1	NA	NA	NA	NA	NA	NA	NA	NA	NA
KT3K	NA	NA	NA	NA	NA	1.249	NA	NA	1.024
TBC17	2.069	NA	NA	NA	NA	2.203	1.682	NA	2.25
SYCM	NA	NA	1.394	NA	NA	1.637	NA	NA	1.341
PPCS	1.193	0.913	NA	0.996	1.1	1.071	0.816	1.203	NA
UBTD1	NA	NA	NA	NA	1.197	NA	NA	NA	0.958
NMNA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NJMU	1.139	NA	1.17	0.877	1.062	1.275	0.882	0.828	NA
PKHA5	NA	0.929	1.351	NA	1.082	1	NA	0.827	1.079
SMUF2	1.974	NA	NA	NA	NA	NA	NA	NA	NA
RENT2	NA	0.965	NA	NA	NA	NA	NA	NA	NA
GBB4	0.942	0.912	0.894	0.968	1.073	1.209	0.866	0.862	1.207
XPO5	NA	NA	NA	NA	1.161	NA	NA	0.797	NA
GRPE1	NA	0.931	0.951	NA	1.094	1.15	0.985	0.858	1.114
