	LacZ_enriched_722	LacZ_723	lacZ_enriched_815	AC2_enriched_722	AC2_723	AC2_enriched_815	AC6_enriched_722	AC6_723	AC6_enriched_815
TSN6	NA	2.712	NA	NA	NA	NA	NA	NA	NA
PLRG1	1.048	NA	NA	0.829	NA	NA	NA	NA	NA
RGS10	NA	NA	NA	0.932	NA	0.415	NA	NA	NA
ZN207	1.014	1.089	NA	0.921	1.358	NA	0.865	1.075	NA
NDUB3	NA	NA	NA	NA	NA	NA	NA	NA	NA
NDUA2	NA	0.875	NA	NA	NA	NA	NA	0.909	NA
GET3	NA	0.911	0.913	NA	1.108	1.121	NA	0.849	NA
BUB1	NA	0.922	NA	NA	1.08	NA	0.757	0.826	NA
BUB3	NA	0.957	NA	NA	NA	NA	NA	0.766	NA
ACTN4	NA	0.932	0.985	0.829	1.144	1.141	NA	0.881	1.037
HTSF1	NA	NA	NA	0.855	NA	NA	NA	NA	NA
ERD23	NA	NA	NA	NA	NA	NA	NA	NA	NA
AAKB2	0.76	0.854	1.134	0.813	1.033	1.28	NA	0.886	1.365
AP1G1	NA	NA	NA	NA	NA	NA	NA	NA	NA
STX6	1.18	0.994	1.038	0.877	1.069	1.231	0.846	0.879	1.222
SNG2	1.08	NA	1.017	0.954	1.115	1.104	0.928	0.875	NA
SGTA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MCAT	NA	1.053	NA	NA	NA	1.251	NA	NA	NA
SYNC	1.051	0.97	NA	0.903	1.121	NA	0.845	0.858	NA
MYO1B	NA	NA	1.053	0.915	NA	NA	NA	NA	NA
SSNA1	NA	NA	0.849	NA	NA	NA	NA	NA	1.037
CPSF5	NA	0.926	NA	NA	1.111	NA	0.737	0.868	1.191
LANC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
STRN	NA	NA	NA	NA	NA	NA	NA	NA	NA
U3IP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCO2	NA	NA	NA	1.584	NA	NA	NA	NA	NA
AKAP8	NA	NA	NA	NA	NA	NA	NA	NA	NA
IDH3B	NA	NA	0.873	NA	NA	0.981	0.85	NA	NA
NRDC	NA	NA	NA	NA	NA	5.711	NA	NA	NA
CALU	NA	0.965	0.919	NA	1.098	NA	NA	0.878	1.066
EDIL3	1.085	0.992	NA	0.824	1.197	NA	0.808	NA	NA
SAHH2	1.246	NA	1.105	1.027	1.132	1.318	0.876	0.959	1.511
KIF1C	NA	0.908	NA	NA	1.15	NA	NA	NA	NA
PRIC3	NA	0.876	NA	0.786	NA	NA	0.903	NA	NA
NDUS5	NA	0.939	NA	NA	NA	NA	NA	0.776	NA
PDE6D	NA	0.813	1.065	0.202	0.85	NA	NA	0.725	NA
RAD21	NA	NA	NA	NA	NA	1.068	NA	NA	NA
AK1BA	NA	NA	1.174	NA	NA	1.217	NA	NA	NA
TIM8A	NA	NA	NA	NA	NA	NA	NA	NA	NA
DHX16	0.014	0.031	NA	0.024	NA	NA	0.026	NA	NA
ZNRD2	NA	NA	NA	NA	NA	NA	NA	NA	NA
BNI3L	NA	0.933	NA	1.088	1.07	NA	NA	0.89	NA
MED14	NA	NA	1.032	NA	NA	1.374	NA	NA	NA
KPRB	NA	NA	0.82	NA	NA	NA	NA	NA	NA
FGF17	NA	0.974	0.77	NA	1.052	1.16	NA	0.88	1.028
SMCA5	2.571	0.089	3.237	2.307	NA	4.415	2.694	NA	4.44
ADCY3	NA	NA	NA	1.285	NA	NA	0.919	NA	NA
JIP4	1.423	1.089	1.071	0.957	NA	1.194	3.857	NA	NA
NPA1P	NA	1.015	NA	NA	NA	NA	0.988	NA	NA
MGRN1	1.151	NA	1.02	1.04	1.138	1.136	0.831	NA	1.048
SI1L3	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZC3H1	NA	NA	NA	NA	NA	NA	NA	NA	0.534
OPA1	1.163	0.945	0.919	0.977	1.091	1.067	0.937	0.878	1.002
ZEB2	0.777	1.256	0.692	NA	1.648	0.705	NA	NA	1.012
F1891	NA	NA	NA	NA	NA	NA	NA	NA	NA
KIF1B	NA	NA	NA	NA	NA	NA	NA	NA	NA
MABP1	1.084	NA	1.077	0.886	NA	1.276	NA	NA	1.284
KDM1A	NA	1.047	1.118	NA	NA	1.271	NA	NA	1.057
TBCD4	1.268	1.008	0.891	0.979	1.117	1.258	1.19	0.862	0.91
FADS1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PEPL	NA	1.044	NA	1.155	1.306	NA	1.052	0.969	NA
GSDME	NA	NA	NA	0.733	NA	NA	NA	NA	NA
EVI5	NA	NA	0.95	NA	NA	1.056	0.855	NA	1.005
DSCAM	0.826	0.732	0.769	NA	2.373	1.001	0.709	NA	1.348
ACSL4	1.23	0.987	NA	1.132	NA	NA	0.886	0.964	NA
SNX3	NA	0.938	NA	NA	NA	NA	NA	NA	NA
STX10	NA	1.009	NA	0.879	0.998	1.093	0.871	0.866	NA
OGA	NA	0.917	NA	0.675	1.206	NA	0.681	0.842	NA
ADCY9	NA	0.943	NA	NA	NA	1.105	NA	NA	NA
VINEX	NA	NA	NA	NA	NA	0.52	1.37	NA	NA
HNRPQ	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRP17	NA	NA	NA	NA	NA	NA	NA	NA	NA
B4GT4	NA	0.917	NA	NA	1.047	NA	0.779	0.84	NA
RNBP6	NA	0.862	NA	NA	NA	NA	1.322	NA	NA
