"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"IST1" -1.10353333333333 1.80534166666667 -9.61332988937344 0.0371303850494588 1 -3.92483868701003
"LXN" 1.06746666666667 1.503675 9.29913841531127 0.0387388323754166 1 -3.92687790942308
"TAOK1" 1.03546666666667 1.97034166666667 9.02037333666092 0.0402721395446952 1 -3.92886125887047
"MEAK7" 0.181183333333333 0.995846904761905 2.36932788681245 0.0909340233721912 1 -3.93118996437875
"S10AD" -0.0846222222222223 0.981728527336861 -2.10682082766967 0.0715675982168574 1 -3.94033040469327
"ARMD3" -0.886566666666667 3.02668611111111 -7.72324458006601 0.0490691360479373 1 -3.94093486616707
"MA7D3" -0.862533333333333 0.791341666666667 -7.51388039078799 0.0508112358330537 1 -3.94345710040525
"2ABD" -0.858533333333333 0.777008333333333 -7.47903475595669 0.051111795793445 1 -3.94389639091958
"H2AW" -0.847666666666667 0.570166666666667 -7.38437078133168 0.0519443546138967 1 -3.94511949575703
"NAV2" 0.824466666666667 5.99300833333333 7.18226609931018 0.0538041609524536 1 -3.94788442064069
"PDC6I" 0.803433333333333 1.01538333333333 6.99903613615562 0.0555942569926503 1 -3.95058738390924
"CT453" -0.22605 0.902035317460317 -2.1358836003162 0.0827506521220919 1 -3.95305451400422
"KDM4A" 0.763 1.29676984126984 6.64680484406929 0.0593459894027861 1 -3.95637993335961
"KGP2" 0.2751 1.02242529761905 2.79551809708991 0.0926347554301082 1 -3.95652717528781
"NSE3" -0.7439 0.94705 -6.48041693774987 0.0612766518747185 1 -3.95942558733725
"FBX4" 0.737 1.41343650793651 6.42030821766588 0.062001491290015 1 -3.96058002852528
"FAF2" 0.734466666666666 1.610675 6.39823931560606 0.0622714119101254 1 -3.96101143792256
"PSME4" -0.359933333333333 1.01479382086168 -2.11709711326684 0.0847999163535673 1 -3.96150684116061
"RUFY1" -0.237833333333334 1.07691071428571 -2.58882106095527 0.106849235510474 1 -3.96301661228279
"TRM2" 0.714 1.563 6.21994581738594 0.0645301590667218 1 -3.96465316002481
"KAP3" 0.683333333333333 0.836518518518518 5.95279595034602 0.0681961845730581 1 -3.97068026192571
"CHMP6" 0.6741 1.42805 5.87236060994379 0.0693723566328232 1 -3.97264338613185
"PRAF2" -0.191316666666666 0.979485714285714 -2.55892640176844 0.109142467876368 1 -3.97444101616313
"UROK" -0.266416666666667 0.935839583333333 -2.55016258906866 0.109827196422856 1 -3.97782484598297
"GEMI6" -0.18995 0.978830555555555 -2.54543187411699 0.110199198948747 1 -3.9796580177173
"SRPRA" 0.643 0.791436507936508 5.60143579913048 0.0736089305583486 1 -3.97982776315691
"GA2L3" -0.642533333333334 3.218675 -5.59737047506683 0.0736759449524441 1 -3.97994279040541
"TIM22" 0.637466666666666 1.298675 5.55323267094719 0.074410474772136 1 -3.9812063322042
"DHC24" -0.617533333333333 1.23100833333333 -5.37958525737124 0.0774290097047107 1 -3.98645079505041
"HBB" 0.599999999999999 7.93543650793651 5.22684522469406 0.0802663058574178 1 -3.99145404971602
"SPAG5" -0.583533333333333 1.82286666666667 -5.08339736130524 0.0831011288425079 1 -3.99652112121796
"MGRN1" -0.0919333333333334 1.02807953514739 -2.07897926349826 0.0891225712792509 1 -3.99691234760426
"GUC2C" -0.234666666666667 0.95421626984127 -2.63141009609017 0.103692245685555 1 -4.0048058179972
"RPRD2" -0.548633333333333 0.746641666666667 -4.77936919740221 0.0897246743116035 1 -4.00860953790553
"RNBP6" 0.546333333333333 1.17616666666667 4.75933295737421 0.0901935107984873 1 -4.00947775051477
"TPX2" 0.542 1.31 4.72158351964031 0.0910885372493288 1 -4.01113961728644
"HACE1" 0.538466666666667 1.38586666666667 4.69080320887267 0.0918298706274792 1 -4.01252044962837
"SIR2" -0.1475 0.981906349206349 -2.21923786983124 0.105264986820802 1 -4.01788684241497
"SCAM3" 0.523466666666667 2.18634166666667 4.56013207825531 0.0950976155285437 1 -4.01865271209231
"UBP7" -0.17395 1.06732277777778 -2.21504392235189 0.105702156859152 1 -4.0203778259823
"CATZ" -0.514533333333333 1.08136666666667 -4.48231016046543 0.0971414957562327 1 -4.02252487918483
"KIF7" -0.196833333333333 1.03572222222222 -2.43532173377187 0.119353329510491 1 -4.02365096161169
